ts_ms,ts_utc,spot_symbol,perp_symbol,spot_close,perp_close,basis_bp,spot_lag_bars
1789078200000,2026-09-10T22:10:00Z,RAAPLUSDT,AAPLUSDT,326.3512,326.5,4.559505,0
1789078500000,2026-09-10T22:15:00Z,RAAPLUSDT,AAPLUSDT,326.4,326.53,3.982843,0
1789078800000,2026-09-10T22:20:00Z,RAAPLUSDT,AAPLUSDT,326.3515,326.43,2.405382,0
1789079100000,2026-09-10T22:25:00Z,RAAPLUSDT,AAPLUSDT,326.23,326.39,4.904515,0
1789079400000,2026-09-10T22:30:00Z,RAAPLUSDT,AAPLUSDT,326.14,326.28,4.292635,0
1789079700000,2026-09-10T22:35:00Z,RAAPLUSDT,AAPLUSDT,326.16,326.28,3.679176,0
1789080000000,2026-09-10T22:40:00Z,RAAPLUSDT,AAPLUSDT,326.0717,326.29,6.694847,0
1789080300000,2026-09-10T22:45:00Z,RAAPLUSDT,AAPLUSDT,326.13,326.29,4.906019,0
1789080600000,2026-09-10T22:50:00Z,RAAPLUSDT,AAPLUSDT,326.0515,326.14,2.714295,0
1789080900000,2026-09-10T22:55:00Z,RAAPLUSDT,AAPLUSDT,326.02,326.16,4.294215,0
1789081200000,2026-09-10T23:00:00Z,RAAPLUSDT,AAPLUSDT,326.0,326.19,5.828221,0
1789081500000,2026-09-10T23:05:00Z,RAAPLUSDT,AAPLUSDT,326.01,326.19,5.521303,0
1789081800000,2026-09-10T23:10:00Z,RAAPLUSDT,AAPLUSDT,326.01,326.12,3.37413,0
1789082100000,2026-09-10T23:15:00Z,RAAPLUSDT,AAPLUSDT,325.95,326.12,5.215524,0
1789082400000,2026-09-10T23:20:00Z,RAAPLUSDT,AAPLUSDT,325.78,325.91,3.990423,0
1789082700000,2026-09-10T23:25:00Z,RAAPLUSDT,AAPLUSDT,325.7494,325.92,5.237155,0
1789083000000,2026-09-10T23:30:00Z,RAAPLUSDT,AAPLUSDT,325.67,325.91,7.369423,0
1789083300000,2026-09-10T23:35:00Z,RAAPLUSDT,AAPLUSDT,325.78,325.87,2.762601,0
1789083600000,2026-09-10T23:40:00Z,RAAPLUSDT,AAPLUSDT,325.92,325.88,-1.227295,0
1789083900000,2026-09-10T23:45:00Z,RAAPLUSDT,AAPLUSDT,325.88,325.94,1.841169,0
1789084200000,2026-09-10T23:50:00Z,RAAPLUSDT,AAPLUSDT,325.86,325.92,1.841282,0
1789084500000,2026-09-10T23:55:00Z,RAAPLUSDT,AAPLUSDT,325.8,325.91,3.376304,0
1789084800000,2026-09-11T00:00:00Z,RAAPLUSDT,AAPLUSDT,325.99,325.91,-2.454063,0
