ts_ms,ts_utc,base,venue,side,slip_target_bp,capacity_usd,actual_slip_bp,best_price
1789233994555,2026-09-12T17:26:34Z,SOXL,perp,ask,5.0,226870.34,2.2777,122.75
1789233994555,2026-09-12T17:26:34Z,SPY,perp,bid,1.0,26814.23,0.8884,765.97
1789233994555,2026-09-12T17:26:34Z,SPY,perp,bid,5.0,111973.54,1.0071,765.97
1789233994555,2026-09-12T17:26:34Z,SPY,perp,ask,1.0,2527510.14,0.2053,765.98
1789233994555,2026-09-12T17:26:34Z,SPY,perp,ask,5.0,2527510.14,0.2053,765.98
1789233994555,2026-09-12T17:26:34Z,TSLA,perp,bid,1.0,523.41,0.6094,366.04
1789233994555,2026-09-12T17:26:34Z,TSLA,perp,bid,5.0,3121.93,1.2391,366.04
1789233994555,2026-09-12T17:26:34Z,TSLA,perp,ask,1.0,262668.2,0.7726,366.07
1789233994555,2026-09-12T17:26:34Z,TSLA,perp,ask,5.0,262668.2,0.7726,366.07
1789234024562,2026-09-12T17:27:04Z,AAPL,perp,bid,1.0,179057.48,0.3318,333.7
1789234024562,2026-09-12T17:27:04Z,AAPL,perp,bid,5.0,179057.48,0.3318,333.7
1789234024562,2026-09-12T17:27:04Z,AAPL,perp,ask,1.0,2910.1,0.4986,333.71
1789234024562,2026-09-12T17:27:04Z,AAPL,perp,ask,5.0,172264.86,1.187,333.71
1789234024562,2026-09-12T17:27:04Z,GOOGL,perp,bid,1.0,1284.85,0.3938,339.92
1789234024562,2026-09-12T17:27:04Z,GOOGL,perp,bid,5.0,13319.91,1.168,339.92
1789234024562,2026-09-12T17:27:04Z,GOOGL,perp,ask,1.0,94478.25,0.2246,339.94
1789234024562,2026-09-12T17:27:04Z,GOOGL,perp,ask,5.0,94478.25,0.2246,339.94
1789234024562,2026-09-12T17:27:04Z,HOOD,perp,bid,1.0,4305.32,0.0646,112.47
1789234024562,2026-09-12T17:27:04Z,HOOD,perp,bid,5.0,18761.86,4.9967,112.47
1789234024562,2026-09-12T17:27:04Z,HOOD,perp,ask,1.0,195393.29,0.737,112.48
1789234024562,2026-09-12T17:27:04Z,HOOD,perp,ask,5.0,220028.41,1.0526,112.48
1789234024562,2026-09-12T17:27:04Z,META,perp,bid,1.0,51.99,0.6731,649.95
1789234024562,2026-09-12T17:27:04Z,META,perp,bid,5.0,5562.63,1.6897,649.95
1789234024562,2026-09-12T17:27:04Z,META,perp,ask,1.0,28652.16,0.6721,649.96
1789234024562,2026-09-12T17:27:04Z,META,perp,ask,5.0,28652.16,0.6721,649.96
1789234024562,2026-09-12T17:27:04Z,MRVL,perp,bid,1.0,47.49,0.0,237.46
1789234024562,2026-09-12T17:27:04Z,MRVL,perp,bid,5.0,26879.04,3.1834,237.46
1789234024562,2026-09-12T17:27:04Z,MRVL,perp,ask,1.0,233172.58,0.4412,237.47
1789234024562,2026-09-12T17:27:04Z,MRVL,perp,ask,5.0,233172.58,0.4412,237.47
1789234024562,2026-09-12T17:27:04Z,NVDA,perp,bid,1.0,3652.24,0.6631,219.5
1789234024562,2026-09-12T17:27:04Z,NVDA,perp,bid,5.0,29471.99,1.5816,219.5
1789234024562,2026-09-12T17:27:04Z,NVDA,perp,ask,1.0,274804.71,0.4045,219.51
1789234024562,2026-09-12T17:27:04Z,NVDA,perp,ask,5.0,274804.71,0.4045,219.51
1789234024562,2026-09-12T17:27:04Z,QQQ,perp,bid,1.0,3840.16,0.1776,716.46
1789234024562,2026-09-12T17:27:04Z,QQQ,perp,bid,5.0,3840.16,0.1776,716.46
1789234024562,2026-09-12T17:27:04Z,QQQ,perp,ask,1.0,293790.95,0.0825,716.47
1789234024562,2026-09-12T17:27:04Z,QQQ,perp,ask,5.0,293790.95,0.0825,716.47
1789234024562,2026-09-12T17:27:04Z,SOXL,perp,bid,1.0,132638.25,0.7954,122.74
1789234024562,2026-09-12T17:27:04Z,SOXL,perp,bid,5.0,425297.1,2.1223,122.74
